Month,Patents,,,,,,,,
7/6/2010,1,,,,,,,,
8/3/2010,2,,,,,,,,
8/10/2010,2,,,,,,,,
8/17/2010,6,,,,,,,,
8/31/2010,3,,,,,,,,
9/21/2010,15,,,,,,,,
10/12/2010,1,,,,,,,,
11/2/2010,6,,,,,,,,
11/22/2010,13,,,,,,,,
11/23/2010,4,,,,,,,,
11/30/2010,3,,,,,,,,
12/28/2010,2,,,,,,,,
1/4/2011,2,,,,,,,,
1/11/2011,10,,,,,,,,
1/25/2011,3,,,,,,,,
2/1/2011,8,,,,,,,,
2/8/2011,3,,,,,,,,
2/15/2011,13,,,,,,,,
2/22/2011,9,,,,,,,,
3/1/2011,5,,,,,,,,
3/8/2011,7,,,,,,,,
3/22/2011,3,,,,,,,,
3/29/2011,6,,,,,,,,
4/19/2011,3,,,,,,,,
4/26/2011,9,,,,,,,,
5/10/2011,8,,,,,,,,
5/24/2011,3,,,,,,,,
5/31/2011,4,,,,,,,,
6/14/2011,2,,,,,,,,
6/28/2011,3,,,,,,,,
7/5/2011,2,,,,,,,,
7/19/2011,8,,,,,,,,
8/2/2011,17,,,,,,,,
8/16/2011,2,,,,,,,,
8/30/2011,2,,,,,,,,
9/6/2011,7,,,,,,,,
9/13/2011,5,,,,,,,,
9/20/2011,8,,,,,,,,
9/27/2011,4,,,,,,,,
10/4/2011,12,,,,,,,,
11/1/2011,1,,,,,,,,
11/15/2011,2,,,,,,,,
11/22/2011,2,,,,,,,,
11/29/2011,4,,,,,,,,
12/6/2011,3,,,,,,,,
12/13/2011,3,,,,,,,,
12/27/2011,3,,,,,,,,
1/3/2012,5,,,,,,,,
1/10/2012,2,,,,,,,,
1/17/2012,14,,,,,,,,
1/24/2012,1,,,,,,,,
1/31/2012,8,,,,,,,,
2/7/2012,6,,,,,,,,
2/14/2012,3,,,,,,,,
3/6/2012,7,,,,,,,,
3/13/2012,4,,,,,,,,
3/20/2012,6,,,,,,,,
4/3/2012,5,,,,,,,,
4/10/2012,3,,,,,,,,
4/17/2012,6,,,,,,,,
5/1/2012,3,,,,,,,,
5/15/2012,6,,,,,,,,
5/22/2012,13,,,,,,,,
6/5/2012,18,,,,,,,,
6/12/2012,3,,,,,,,,
6/19/2012,2,,,,,,,,
6/26/2012,3,,,,,,,,
7/3/2012,4,,,,,,,,
7/10/2012,1,,,,,,,,
7/17/2012,6,,,,,,,,
7/24/2012,14,,,,,,,,
8/7/2012,1,,,,,,,,
8/21/2012,4,,,,,,,,
8/28/2012,9,,,,,,,,
9/4/2012,2,,,,,,,,
9/11/2012,2,,,,,,,,
9/25/2012,4,,,,,,,,
10/2/2012,3,,,,,,,,
10/9/2012,4,,,,,,,,
10/16/2012,9,,,,,,,,
10/30/2012,3,,,,,,,,
11/13/2012,3,,,,,,,,
11/27/2012,3,,,,,,,,
12/4/2012,2,,,,,,,,
12/18/2012,4,,,,,,,,
12/25/2012,7,,,,,,,,
1/1/2013,11,,,,,,,,
1/8/2013,4,,,,,,,,
1/18/2013,5,,,,,,,,
1/22/2013,5,,,,,,,,
1/29/2013,17,,,,,,,,
2/5/2013,6,,,,,,,,
2/19/2013,2,,,,,,,,
3/5/2013,10,,,,,,,,
3/12/2013,8,,,,,,,,
3/19/2013,3,,,,,,,,
4/2/2013,5,,,,,,,,
4/9/2013,4,,,,,,,,
4/16/2013,8,,,,,,,,
4/23/2013,9,,,,,,,,
4/30/2013,4,,,,,,,,
5/7/2013,4,,,,,,,,
5/14/2013,14,,,,,,,,
5/21/2013,6,,,,,,,,
5/28/2013,3,,,,,,,,
6/4/2013,11,,,,,,,,
6/11/2013,6,,,,,,,,
6/18/2013,3,,,,,,,,
6/19/2013,4,,,,,,,,
6/25/2013,5,,,,,,,,
7/23/2013,12,,,,,,,,
8/6/2013,13,,,,,,,,
8/13/2013,5,,,,,,,,
8/27/2013,4,,,,,,,,
9/10/2013,24,,,,,,,,
9/17/2013,8,,,,,,,,
10/15/2013,2,,,,,,,,
10/22/2013,5,,,,,,,,
11/12/2013,4,,,,,,,,
11/19/2013,11,,,,,,,,
11/26/2013,5,,,,,,,,
12/3/2013,8,,,,,,,,
12/10/2013,4,,,,,,,,
12/17/2013,12,,,,,,,,
12/31/2013,4,,,,,,,,
1/7/2014,14,,,,,,,,
1/14/2014,4,,,,,,,,
1/21/2014,11,,,,,,,,
1/28/2014,1,,,,,,,,
2/4/2014,18,,,,,,,,
3/4/2014,2,,,,,,,,
3/25/2014,6,,,,,,,,
4/8/2014,1,,,,,,,,
4/15/2014,3,,,,,,,,
4/22/2014,17,,,,,,,,
5/6/2014,13,,,,,,,,
5/13/2014,1,,,,,,,,
5/20/2014,6,,,,,,,,
5/27/2014,3,,,,,,,,
6/10/2014,8,,,,,,,,
6/25/2014,1,,,,,,,,
7/1/2014,3,,,,,,,,
7/8/2014,2,,,,,,,,
7/22/2014,2,,,,,,,,
7/29/2014,10,,,,,,,,
8/5/2014,7,,,,,,,,
8/12/2014,9,,,,,,,,
8/19/2014,1,,,,,,,,
8/26/2014,9,,,,,,,,
9/9/2014,1,,,,,,,,
9/11/2014,4,,,,,,,,
9/16/2014,3,,,,,,,,
9/30/2014,7,,,,,,,,
10/7/2014,2,,,,,,,,
10/14/2014,6,,,,,,,,
10/28/2014,4,,,,,,,,
11/4/2014,3,,,,,,,,
11/11/2014,4,,,,,,,,
11/18/2014,24,,,,,,,,
12/16/2014,1,,,,,,,,
1/6/2015,1,,,,,,,,
1/13/2015,15,,,,,,,,
1/20/2015,2,,,,,,,,
1/27/2015,2,,,,,,,,
2/3/2015,12,,,,,,,,
2/17/2015,5,,,,,,,,
3/3/2015,7,,,,,,,,
3/17/2015,1,,,,,,,,
3/31/2015,4,,,,,,,,
4/14/2015,2,,,,,,,,
4/21/2015,6,,,,,,,,
5/19/2015,3,,,,,,,,
6/2/2015,6,,,,,,,,
6/9/2015,6,,,,,,,,
6/23/2015,4,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
