Filing - Patent Issued Date,Department
05-Mar-2013,Outside U of M
05-Mar-2013,Outside U of M
05-Mar-2013,Outside U of M
05-Mar-2013,Outside U of M
12-Mar-2013,"Bioprod&Biosys Eng, Dept of"
12-Mar-2013,"Bioprod&Biosys Eng, Dept of"
12-Mar-2013,"Bioprod&Biosys Eng, Dept of"
12-Mar-2013,Medicinal Chemistry
12-Mar-2013,Medicinal Chemistry
12-Mar-2013,Outside U of M
12-Mar-2013,Outside U of M
12-Mar-2013,Outside U of M
19-Mar-2013,Medicinal Chemistry
19-Mar-2013,Veterinary Biomedical Science
19-Mar-2013,Veterinary Biomedical Science
02-Apr-2013,CBS Biotech Resource Center
02-Apr-2013,CSENG Chem Eng & Mat Sci Admin
02-Apr-2013,MED Medicine Dept Admin
02-Apr-2013,MED Medicine Dept Admin
02-Apr-2013,MED Medicine Dept Admin
09-Apr-2013,CBS Molecular Biology
09-Apr-2013,CBS Molecular Biology
09-Apr-2013,CSENG Mech Engineering Admin
09-Apr-2013,CSENG Mech Engineering Admin
16-Apr-2013,CSENG Chemistry Administration
16-Apr-2013,CSENG Chemistry Administration
16-Apr-2013,CSENG CS&E Administration
16-Apr-2013,Outside U of M
16-Apr-2013,Outside U of M
16-Apr-2013,Outside U of M
16-Apr-2013,Outside U of M
16-Apr-2013,Outside U of M
23-Apr-2013,CSENG CS&E Administration
23-Apr-2013,MED Medicine Dept Admin
23-Apr-2013,MED Medicine Dept Admin
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
30-Apr-2013,BMBB Med Regulatory Biochem
30-Apr-2013,MED Medicine Dept Admin
30-Apr-2013,MED Medicine Dept Admin
30-Apr-2013,Outside U of M
07-May-2013,IEM Engineering In Med Adm
07-May-2013,IEM Engineering In Med Adm
07-May-2013,IEM Engineering In Med Adm
07-May-2013,IEM Engineering In Med Adm
14-May-2013,CSENG CS&E Administration
14-May-2013,MICRO Microbiology Admin
14-May-2013,MICRO Microbiology Admin
14-May-2013,MED Medicine Genetics Division
14-May-2013,MED Medicine Genetics Division
14-May-2013,MED Medicine Genetics Division
14-May-2013,MED Medicine Genetics Division
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
28-May-2013,MED Medicine Genetics Division
28-May-2013,MED Medicine Genetics Division
28-May-2013,Outside U of M
04-Jun-2013,CSENG CS&E Administration
04-Jun-2013,CSENG CS&E Administration
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
11-Jun-2013,CSENG Chem Eng & Mat Sci Admin
11-Jun-2013,Outside U of M
11-Jun-2013,Outside U of M
11-Jun-2013,Outside U of M
11-Jun-2013,Outside U of M
11-Jun-2013,Outside U of M
18-Jun-2013,NRRI Peat Group
18-Jun-2013,Outside U of M
18-Jun-2013,Outside U of M
19-Jun-2013,"Agron&Plant Genetics, Dept of"
19-Jun-2013,"Agron&Plant Genetics, Dept of"
19-Jun-2013,"Plant Pathology, Dept of"
19-Jun-2013,Outside U of M
25-Jun-2013,NRRI Minerals-Coleraine
25-Jun-2013,NRRI Minerals-Coleraine
25-Jun-2013,NRRI Minerals-Coleraine
25-Jun-2013,IBP Anatomy Division
25-Jun-2013,IBP Cardiovascular Repair Ctr
23-Jul-2013,NRRI CARTD Admin
23-Jul-2013,CSENG CS&E Administration
23-Jul-2013,Pharmaceuticl Care & Hlth Syst
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
06-Aug-2013,CSENG Chem Eng & Mat Sci Admin
06-Aug-2013,CSENG Chem Eng & Mat Sci Admin
06-Aug-2013,CSENG Chem Eng & Mat Sci Admin
06-Aug-2013,Medicinal Chemistry
06-Aug-2013,MED Medicine Dept Admin
06-Aug-2013,MED Medicine Dept Admin
06-Aug-2013,MED Medicine Dept Admin
06-Aug-2013,MED Medicine Dept Admin
06-Aug-2013,Radiology Administration
06-Aug-2013,Radiology Administration
06-Aug-2013,Radiology Administration
06-Aug-2013,Radiology Administration
06-Aug-2013,Outside U of M
13-Aug-2013,CSENG Chemistry Administration
13-Aug-2013,Medicinal Chemistry
13-Aug-2013,Surgery Administration
13-Aug-2013,Surgery Administration
13-Aug-2013,Surgery Administration
27-Aug-2013,Radiology Administration
27-Aug-2013,Radiology Administration
27-Aug-2013,Radiology Administration
27-Aug-2013,Radiology Administration
10-Sep-2013,CSENG CS&E Administration
10-Sep-2013,CSENG CS&E Administration
10-Sep-2013,CSENG CS&E Administration
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
17-Sep-2013,NRRI CARTD Admin
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,Outside U of M
17-Sep-2013,Outside U of M
15-Oct-2013,Dent Primary Care Admin
15-Oct-2013,Outside U of M
22-Oct-2013,MICRO Microbiology Admin
22-Oct-2013,Outside U of M
22-Oct-2013,Outside U of M
22-Oct-2013,Outside U of M
22-Oct-2013,Outside U of M
12-Nov-2013,Medicinal Chemistry
12-Nov-2013,MED Medicine Dept Admin
12-Nov-2013,PEDS Pediatrics Department Adm
12-Nov-2013,PEDS Pediatrics Department Adm
19-Nov-2013,CSENG ECE Admin
19-Nov-2013,CSENG ECE Admin
19-Nov-2013,GCD MS Beckman Center
19-Nov-2013,MED Medicine Genetics Division
19-Nov-2013,MED Medicine Genetics Division
19-Nov-2013,Radiology Administration
19-Nov-2013,CBS GCD Education
19-Nov-2013,Outside U of M
19-Nov-2013,Outside U of M
19-Nov-2013,Outside U of M
19-Nov-2013,Outside U of M
26-Nov-2013,PEDS Pediatrics Department Adm
26-Nov-2013,Outside U of M
26-Nov-2013,Outside U of M
26-Nov-2013,Outside U of M
26-Nov-2013,Outside U of M
03-Dec-2013,CSENG Chemistry Administration
03-Dec-2013,CSENG Chemistry Administration
03-Dec-2013,Outside U of M
03-Dec-2013,Outside U of M
03-Dec-2013,Outside U of M
03-Dec-2013,Outside U of M
03-Dec-2013,Outside U of M
03-Dec-2013,Outside U of M
10-Dec-2013,CSENG ECE Admin
10-Dec-2013,CSENG ECE Admin
10-Dec-2013,Radiology Administration
10-Dec-2013,Outside U of M
17-Dec-2013,CBS Molecular Biology
17-Dec-2013,CSENG Chem Eng & Mat Sci Admin
17-Dec-2013,CSENG Chem Eng & Mat Sci Admin
17-Dec-2013,CSENG Biomedical Eng Admin
17-Dec-2013,Medicinal Chemistry
17-Dec-2013,CoP Pharmaceutics
17-Dec-2013,PHCL Pharmacology Grad Educ
17-Dec-2013,MED Medicine Genetics Division
17-Dec-2013,PEDS Pediatrics Department Adm
17-Dec-2013,PEDS Pediatrics Department Adm
17-Dec-2013,Outside U of M
17-Dec-2013,Outside U of M
31-Dec-2013,CSENG ECE Admin
31-Dec-2013,CSENG ECE Admin
31-Dec-2013,Radiology Administration
31-Dec-2013,Radiology Administration
07-Jan-2014,CBS Biotech Resource Center
07-Jan-2014,CFANS Administration
07-Jan-2014,"Bioprod&Biosys Eng, Dept of"
07-Jan-2014,CSENG Chem Eng & Mat Sci Admin
07-Jan-2014,CSENG Chem Eng & Mat Sci Admin
07-Jan-2014,CSENG Chem Eng & Mat Sci Admin
07-Jan-2014,CSENG Chemistry Administration
07-Jan-2014,CSENG Chemistry Administration
07-Jan-2014,CSENG Chemistry Administration
07-Jan-2014,FM Family Medicine Dept Admin
07-Jan-2014,FM Family Medicine Dept Admin
07-Jan-2014,Outside U of M
07-Jan-2014,Outside U of M
07-Jan-2014,Outside U of M
14-Jan-2014,CBS Molecular Biology
14-Jan-2014,CSENG ECE Admin
14-Jan-2014,CSENG ECE Admin
14-Jan-2014,CSENG ECE Admin
21-Jan-2014,CBS Molecular Biology
21-Jan-2014,CBS Molecular Biology
21-Jan-2014,CBS Molecular Biology
21-Jan-2014,CSENG Mat Res Sci&EngCtr MRSEC
21-Jan-2014,CSENG ECE Admin
21-Jan-2014,CSENG ECE Admin
21-Jan-2014,CSENG ECE Admin
21-Jan-2014,CSENG ECE Admin
21-Jan-2014,CSENG ECE Admin
21-Jan-2014,SoN Dean's Office
21-Jan-2014,MED Medicine Dept Admin
28-Jan-2014,MED Medicine Dept Admin
04-Feb-2014,CBS Molecular Biology
04-Feb-2014,"Bioprod&Biosys Eng, Dept of"
04-Feb-2014,"Bioprod&Biosys Eng, Dept of"
04-Feb-2014,"Bioprod&Biosys Eng, Dept of"
04-Feb-2014,"Bioprod&Biosys Eng, Dept of"
04-Feb-2014,"Bioprod&Biosys Eng, Dept of"
04-Feb-2014,"Bioprod&Biosys Eng, Dept of"
04-Feb-2014,CSENG Chemistry Administration
04-Feb-2014,CSENG Chemistry Administration
04-Feb-2014,CSENG Chemistry Administration
04-Feb-2014,BMBB Med Regulatory Biochem
04-Feb-2014,BMBB Med Regulatory Biochem
04-Feb-2014,BMBB Med Regulatory Biochem
04-Feb-2014,Outside U of M
04-Feb-2014,Outside U of M
04-Feb-2014,Outside U of M
04-Feb-2014,Outside U of M
04-Feb-2014,Outside U of M
04-Mar-2014,CSENG CS&E Administration
04-Mar-2014,Outside U of M
25-Mar-2014,"Bioprod&Biosys Eng, Dept of"
25-Mar-2014,"Bioprod&Biosys Eng, Dept of"
25-Mar-2014,"Bioprod&Biosys Eng, Dept of"
25-Mar-2014,Outside U of M
25-Mar-2014,Outside U of M
25-Mar-2014,Outside U of M
08-Apr-2014,NRRI Minerals-Coleraine
15-Apr-2014,MED Medicine Genetics Division
15-Apr-2014,MED Medicine Genetics Division
15-Apr-2014,Outside U of M
22-Apr-2014,CSENG Chem Eng & Mat Sci Admin
22-Apr-2014,CSENG Chem Eng & Mat Sci Admin
22-Apr-2014,CSENG Chem Eng & Mat Sci Admin
22-Apr-2014,CSENG Chem Eng & Mat Sci Admin
22-Apr-2014,CSENG Chemistry Administration
22-Apr-2014,CSENG Chemistry Administration
22-Apr-2014,CSENG Chemistry Administration
22-Apr-2014,CSENG CS&E Administration
22-Apr-2014,CSENG CS&E Administration
22-Apr-2014,CSENG CS&E Administration
22-Apr-2014,CSENG ECE Admin
22-Apr-2014,Radiology Administration
22-Apr-2014,Outside U of M
22-Apr-2014,Outside U of M
22-Apr-2014,Outside U of M
22-Apr-2014,Outside U of M
22-Apr-2014,Outside U of M
06-May-2014,CSENG Chemistry Administration
06-May-2014,CSENG Chemistry Administration
06-May-2014,CSENG Civil Engineering Admin
06-May-2014,CSENG Civil Engineering Admin
06-May-2014,CSENG Civil Engineering Admin
06-May-2014,CSENG ECE Admin
06-May-2014,CSENG ECE Admin
06-May-2014,BMBB Med Regulatory Biochem
06-May-2014,LMP Administration
06-May-2014,LMP Administration
06-May-2014,MED Medicine Dept Admin
06-May-2014,Radiology Administration
06-May-2014,Radiology Administration
13-May-2014,IBP Anatomy Division
20-May-2014,Biology
20-May-2014,CSENG ECE Admin
20-May-2014,PMR Administration
20-May-2014,Surgery Administration
20-May-2014,IEM Engineering In Med Adm
20-May-2014,DMed Dean's Office/Admin
27-May-2014,CoP Pharmaceutics
27-May-2014,CoP Pharmaceutics
27-May-2014,Radiology Administration
10-Jun-2014,MED Medicine Genetics Division
10-Jun-2014,MED Medicine Genetics Division
10-Jun-2014,NEUR Neurology Dept Admin
10-Jun-2014,NEUR Neurology Dept Admin
10-Jun-2014,Radiology Administration
10-Jun-2014,Radiology Administration
10-Jun-2014,Radiology Administration
10-Jun-2014,Radiology Administration
25-Jun-2014,"Horticultural Sci, Dept of"
01-Jul-2014,CSENG Chemistry Administration
01-Jul-2014,CSENG Chemistry Administration
01-Jul-2014,Medicinal Chemistry
08-Jul-2014,CSENG ECE Admin
08-Jul-2014,CSENG ECE Admin
22-Jul-2014,CSENG ECE Admin
22-Jul-2014,CSENG ECE Admin
29-Jul-2014,NRRI Minerals-Coleraine
29-Jul-2014,CSENG Chem Eng & Mat Sci Admin
29-Jul-2014,CSENG Chem Eng & Mat Sci Admin
29-Jul-2014,CSENG Chem Eng & Mat Sci Admin
29-Jul-2014,CSENG Chem Eng & Mat Sci Admin
29-Jul-2014,CSENG Chem Eng & Mat Sci Admin
29-Jul-2014,Outside U of M
29-Jul-2014,Outside U of M
29-Jul-2014,Outside U of M
29-Jul-2014,Outside U of M
05-Aug-2014,MICRO Microbiology Admin
05-Aug-2014,MICRO Microbiology Admin
05-Aug-2014,Radiology Administration
05-Aug-2014,Radiology Administration
05-Aug-2014,Radiology Administration
05-Aug-2014,Radiology Administration
05-Aug-2014,Radiology Administration
12-Aug-2014,CSENG Chem Eng & Mat Sci Admin
12-Aug-2014,CSENG Chem Eng & Mat Sci Admin
12-Aug-2014,CSENG Chemistry Administration
12-Aug-2014,CSENG ECE Admin
12-Aug-2014,CSENG ECE Admin
12-Aug-2014,Outside U of M
12-Aug-2014,Outside U of M
12-Aug-2014,Outside U of M
12-Aug-2014,Outside U of M
19-Aug-2014,CBS Molecular Biology
26-Aug-2014,CSENG Chem Eng & Mat Sci Admin
26-Aug-2014,CSENG CS&E Administration
26-Aug-2014,CSENG CS&E Administration
26-Aug-2014,Medicinal Chemistry
26-Aug-2014,Radiology Administration
26-Aug-2014,Radiology Administration
26-Aug-2014,Outside U of M
26-Aug-2014,Outside U of M
26-Aug-2014,Outside U of M
09-Sep-2014,Ed Psych Administration
11-Sep-2014,"Agron&Plant Genetics, Dept of"
11-Sep-2014,"Agron&Plant Genetics, Dept of"
11-Sep-2014,"Plant Pathology, Dept of"
11-Sep-2014,Outside U of M
16-Sep-2014,CSENG Geology & Geophysics Adm
16-Sep-2014,CSENG Geology & Geophysics Adm
16-Sep-2014,CSENG Mech Engineering Admin
30-Sep-2014,CSENG Chem Eng & Mat Sci Admin
30-Sep-2014,CSENG Chem Eng & Mat Sci Admin
30-Sep-2014,CoP Pharmaceutics
30-Sep-2014,CoP Pharmaceutics
30-Sep-2014,Dent Restorative Science Admin
30-Sep-2014,Dent Restorative Science Admin
30-Sep-2014,Dent Restorative Science Admin
07-Oct-2014,Radiology Administration
07-Oct-2014,Outside U of M
14-Oct-2014,NRRI Minerals-Coleraine
14-Oct-2014,NRRI Minerals-Coleraine
14-Oct-2014,Outside U of M
14-Oct-2014,Outside U of M
14-Oct-2014,Outside U of M
14-Oct-2014,Outside U of M
28-Oct-2014,Outside U of M
28-Oct-2014,Outside U of M
28-Oct-2014,Outside U of M
28-Oct-2014,Outside U of M
04-Nov-2014,CSENG ECE Admin
04-Nov-2014,CSENG ECE Admin
04-Nov-2014,CSENG ECE Admin
11-Nov-2014,CSENG Chem Eng & Mat Sci Admin
11-Nov-2014,CSENG Chem Eng & Mat Sci Admin
11-Nov-2014,Veterinary Population Medicine
11-Nov-2014,Veterinary Population Medicine
18-Nov-2014,CSENG CS&E Administration
18-Nov-2014,CSENG CS&E Administration
18-Nov-2014,CSENG CS&E Administration
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
18-Nov-2014,Outside U of M
16-Dec-2014,Veterinary Population Medicine
06-Jan-2015,Radiology Administration
13-Jan-2015,CFANS Administration
13-Jan-2015,CFANS Administration
13-Jan-2015,CSENG CS&E Administration
13-Jan-2015,Radiology Administration
13-Jan-2015,Radiology Administration
13-Jan-2015,Radiology Administration
13-Jan-2015,Radiology Administration
13-Jan-2015,IEM Engineering In Med Adm
13-Jan-2015,IEM Engineering In Med Adm
13-Jan-2015,IEM Engineering In Med Adm
13-Jan-2015,IEM Engineering In Med Adm
13-Jan-2015,Outside U of M
13-Jan-2015,Outside U of M
13-Jan-2015,Outside U of M
13-Jan-2015,Outside U of M
20-Jan-2015,Radiology Administration
20-Jan-2015,Radiology Administration
27-Jan-2015,Radiology Administration
27-Jan-2015,Outside U of M
03-Feb-2015,CSENG Chem Eng & Mat Sci Admin
03-Feb-2015,CSENG Chem Eng & Mat Sci Admin
03-Feb-2015,CSENG Chem Eng & Mat Sci Admin
03-Feb-2015,CSENG Chem Eng & Mat Sci Admin
03-Feb-2015,CSENG ECE Admin
03-Feb-2015,CSENG ECE Admin
03-Feb-2015,CSENG Mech Engineering Admin
03-Feb-2015,CSENG Mech Engineering Admin
03-Feb-2015,CSENG Mech Engineering Admin
03-Feb-2015,Outside U of M
03-Feb-2015,Outside U of M
03-Feb-2015,Outside U of M
17-Feb-2015,CSENG CS&E Administration
17-Feb-2015,CSENG CS&E Administration
17-Feb-2015,CSENG CS&E Administration
17-Feb-2015,CSENG CS&E Administration
17-Feb-2015,CSENG CS&E Administration
03-Mar-2015,CFANS Administration
03-Mar-2015,"Bioprod&Biosys Eng, Dept of"
03-Mar-2015,"CSENG Math & It's Applic, Inst"
03-Mar-2015,FM Family Medicine Dept Admin
03-Mar-2015,FM Family Medicine Dept Admin
03-Mar-2015,Outside U of M
03-Mar-2015,Outside U of M
17-Mar-2015,Radiology Administration
31-Mar-2015,CSENG Geology & Geophysics Adm
31-Mar-2015,CSENG Geology & Geophysics Adm
31-Mar-2015,CSENG Mech Engineering Admin
31-Mar-2015,Outside U of M
14-Apr-2015,MED Medicine Dept Admin
14-Apr-2015,MED Medicine Dept Admin
21-Apr-2015,"Bioprod&Biosys Eng, Dept of"
21-Apr-2015,"Bioprod&Biosys Eng, Dept of"
21-Apr-2015,"Bioprod&Biosys Eng, Dept of"
21-Apr-2015,Outside U of M
21-Apr-2015,Outside U of M
21-Apr-2015,Outside U of M
19-May-2015,"Drug Design, Center for"
19-May-2015,Medicinal Chemistry
19-May-2015,NSU Neurosurgery Dept Admin
02-Jun-2015,D NRRI Minerals-Coleraine
02-Jun-2015,PMR Administration
02-Jun-2015,Outside U of M
02-Jun-2015,Outside U of M
02-Jun-2015,Outside U of M
02-Jun-2015,Outside U of M
09-Jun-2015,CBS Molecular Biology
09-Jun-2015,CSENG Chemistry Administration
09-Jun-2015,CSENG Chemistry Administration
09-Jun-2015,CSENG Chemistry Administration
09-Jun-2015,CSENG Mech Engineering Admin
09-Jun-2015,CSENG Mech Engineering Admin
23-Jun-2015,CSENG Mech Engineering Admin
23-Jun-2015,CSENG Mech Engineering Admin
23-Jun-2015,CSENG Mech Engineering Admin
23-Jun-2015,CSENG Mech Engineering Admin
